name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
ID,VARCHAR(16777216),COLUMN,N,,Y,N,,,,,
IS_DELETED,BOOLEAN,COLUMN,Y,,N,N,,,,,
MASTER_RECORD_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TYPE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PARENT_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_STREET,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_STATE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_POSTAL_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_COUNTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_STATE_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_LATITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
BILLING_LONGITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
BILLING_GEOCODE_ACCURACY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_STREET,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_STATE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_POSTAL_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_COUNTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_STATE_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHIPPING_LATITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
SHIPPING_LONGITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
SHIPPING_GEOCODE_ACCURACY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
WEBSITE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHOTO_URL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIC,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
INDUSTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NUMBER_OF_EMPLOYEES,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
TICKER_SYMBOL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DESCRIPTION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RATING,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SITE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
OWNER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CREATED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
CREATED_BY_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_MODIFIED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_MODIFIED_BY_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SYSTEM_MODSTAMP,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_ACTIVITY_DATE,DATE,COLUMN,Y,,N,N,,,,,
LAST_VIEWED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_REFERENCED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
JIGSAW,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
JIGSAW_COMPANY_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLEAN_STATUS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DUNS_NUMBER,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRADESTYLE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAICS_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAICS_DESC,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
YEAR_STARTED,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CURRENT_EDW_PROVIDER_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLOUD_PROVIDER_S_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DATA_TYPES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BI_TOOLS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CURRENT_BI_TOOL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CURRENT_DW_TOOL_ACCOUNT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLOUD_PLATFORM_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ETL_TOOL_ACCOUNT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STATS_TOOL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ACCOUNT_STATUS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BDR_INVOLVED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
NAME_OF_BDR_INVOLVED_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
INFERP_INFER_PERSONAS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SUB_TERRITORY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAMED_ACCOUNT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
CUSTOMER_SUCCESS_NOTES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CUSTOMER_SUCCESS_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
BAA_ON_FILE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
STANDARD_FEATURES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LITMOS_ACTIVE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIGNED_AGR_ON_FILE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
LITMOS_CUSTOMER_PRIORITY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LITMOS_NUMBEROF_LOCATIONS_C,FLOAT,COLUMN,Y,,N,N,,,,,
LITMOS_SLAEXPIRATION_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
LITMOS_SLASERIAL_NUMBER_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LITMOS_SLA_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LITMOS_UPSELL_OPPORTUNITY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CUSTOMER_COUNCIL_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PUBLICLY_REFERENCEABLE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_DOMAIN_MAPPING_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_LAST_SYNC_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
ZENDESK_LAST_SYNC_STATUS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_NOTES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_RESULT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_TAGS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_ZENDESK_ORGANIZATION_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_ZENDESK_ORGANIZATION_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_ZENDESK_OUTOF_SYNC_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
ZENDESK_ZENDESK_OLD_TAGS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ZENDESK_CREATED_UPDATED_FLAG_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SUPPORT_TYPE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STRATEGIC_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
GRADE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SNOWFLAKE_ACCOUNT_NAME_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LID_LINKED_IN_COMPANY_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
REGION_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TERRITORY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PARTNER_TYPE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CLICK_THRU_ON_FILE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
INFER_3_SCORE_INDEX_C,FLOAT,COLUMN,Y,,N,N,,,,,
INFER_3_SCORE_OBJECT_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
INFER_3_SCORE_SNAPSHOT_C,FLOAT,COLUMN,Y,,N,N,,,,,
PREVIOUS_WIN_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
SERVICE_ADD_ONS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
_FIVETRAN_SYNCED,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_TECHNOLOGIES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_EXCLUDE_UPDATE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_NOA_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_REVENUE_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_FULL_COUNTRY_NAME_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_STATE_FULL_RA_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_COUNTRY_FULL_RA_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DO_3_YR_EMPLOYEES_GROWTH_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUST_FISCAL_YEAR_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_LOCKED_BY_USER_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_OWNERSHIP_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_EXTERNAL_DISCOVER_ORG_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_LAST_UPDATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DELETED_FROM_DISCOVER_ORG_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_STATE_FULL_NAME_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_NAICS_CODES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_STATE_RA_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUST_IT_BUDGET_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_DES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_IT_EMPLOYEES_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_EMP_NO_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_ITEMP_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_FORTUNE_RANK_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DISCOVER_ORG_CREATED_ON_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
DSCORGPKG_DO_3_YR_SALES_GROWTH_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_IT_BUDGET_C,FLOAT,COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_3_YR_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_LEAD_SOURCE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CONFLICT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_SIC_CODES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_COUNTRY_RA_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_FISCAL_YEAR_END_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DSCORGPKG_CUSTOM_DUNS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DISCOVER_ORG_INDUSTRY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DISCOVER_SIC_DESCRIPTION_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DISCOVER_SIC_CODE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIC_DESC,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ANNUAL_REVENUE,FLOAT,COLUMN,Y,,N,N,,,,,
NAMED_RENEWAL_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
REGISTERED_WITH_AWS_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SNOWFLAKE_ACCOUNT_URL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SNOWFLAKE_TEMPORARY_ACCOUNT_URL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SNOWFLAKE_URL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SNOWFLAKE_TEMPORARY_URL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
INDUSTRY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BILLING_ACCOUNT_ID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
INFERB_1_UPDATED_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
INFERB_1_BSCORE_C,FLOAT,COLUMN,Y,,N,N,,,,,
APPROVED_FOR_PROVISIONING_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
INFERB_1_NUM_CONTACTS_C,FLOAT,COLUMN,Y,,N,N,,,,,
INFERB_1_NUM_ENGAGED_LEADS_C,FLOAT,COLUMN,Y,,N,N,,,,,
INFERB_1_BEHAVIORAL_EVALUATION_SCORE_C,FLOAT,COLUMN,Y,,N,N,,,,,
INFERB_1_NUM_ENGAGED_CONTACTS_C,FLOAT,COLUMN,Y,,N,N,,,,,
INFERB_1_NUM_LEADS_C,FLOAT,COLUMN,Y,,N,N,,,,,
EMAIL_DOMAIN_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TOP_100_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
IS_CUSTOMER_PORTAL,BOOLEAN,COLUMN,Y,,N,N,,,,,
FORTUNE_RANK_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ICP_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
FORTUNE_RANKING_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ENGAGIO_MQADATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
ENGAGIO_ENGAGEMENT_MINUTES_LAST_3_MONTHS_C,FLOAT,COLUMN,Y,,N,N,,,,,
ENGAGIO_ENGAGEMENT_MINUTES_LAST_7_DAYS_C,FLOAT,COLUMN,Y,,N,N,,,,,
ENGAGIO_FIRST_ENGAGEMENT_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
ENGAGIO_STATUS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ENGAGIO_WEB_VISITS_LAST_3_MONTHS_C,FLOAT,COLUMN,Y,,N,N,,,,,
ENGAGIO_ENGAGED_PEOPLE_C,FLOAT,COLUMN,Y,,N,N,,,,,
MSA_EFFECTIVE_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
TERMINUS_IMPRESSIONS_C,FLOAT,COLUMN,Y,,N,N,,,,,
TERMINUS_CLICKS_C,FLOAT,COLUMN,Y,,N,N,,,,,
TERMINUS_ENGAGEMENT_SCORE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TERMINUS_SPEND_C,FLOAT,COLUMN,Y,,N,N,,,,,
EVENT_DISCOUNT_CODE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_CO_TERMED_CONTRACTS_COMBINED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SBQQ_DEFAULT_OPPORTUNITY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_CO_TERMINATION_EVENT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_PRESERVE_BUNDLE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SBQQ_RENEWAL_PRICING_METHOD_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_RENEWAL_MODEL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_PRICE_HOLD_END_C,DATE,COLUMN,Y,,N,N,,,,,
SBQQ_IGNORE_PARENT_CONTRACTED_PRICES_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
SBQQ_CONTRACT_CO_TERMINATION_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SBQQ_ASSET_QUANTITIES_COMBINED_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
TOP_100_DATE_STAMP_C,DATE,COLUMN,Y,,N,N,,,,,
DATA_SHARING_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DATA_SHARING_REFERRAL_LINK_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SHARE_TO_WI_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_DEACTIVATE_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_CURRENT_BALANCE_CURRENCY_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_EMAIL_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_BILLING_ACCOUNT_STATUS_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_TRACT_BILLING_ACCOUNT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_TAX_EXEMPT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_TRACT_EXTERNAL_BILLING_ACCOUNT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_ACCOUNT_START_DATE_C,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_BILL_CYCLE_NAME_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_BILL_ACCOUNT_CATEGORY_NAME_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_TRACTEID_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TRACTSFADAPTER_BILL_TYPE_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TIER_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
AGREEMENT_TYPE_ACCOUNT_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LINKED_IN_EMPLOYEE_COUNT_C,FLOAT,COLUMN,Y,,N,N,,,,,
CASE_EMAIL_ADDRESS_TO_BE_CCED_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CSM_TEAM_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DATA_SHARING_REFERRER_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TERADATA_TARGET_ACCOUNT_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
DATA_SHARING_TARGET_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
DATA_SOURCES_C,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
