name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
ID,VARCHAR(16777216),COLUMN,N,,Y,N,,,,,
USERNAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LAST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FIRST_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COMPANY_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DIVISION,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
DEPARTMENT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
TITLE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STREET,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
CITY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STATE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
POSTAL_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COUNTRY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STATE_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COUNTRY_CODE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LATITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
LONGITUDE,FLOAT,COLUMN,Y,,N,N,,,,,
GEOCODE_ACCURACY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL_PREFERENCES_AUTO_BCC,BOOLEAN,COLUMN,Y,,N,N,,,,,
EMAIL_PREFERENCES_AUTO_BCC_STAY_IN_TOUCH,BOOLEAN,COLUMN,Y,,N,N,,,,,
EMAIL_PREFERENCES_STAY_IN_TOUCH_REMINDER,BOOLEAN,COLUMN,Y,,N,N,,,,,
SENDER_EMAIL,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SENDER_NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
SIGNATURE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STAY_IN_TOUCH_SUBJECT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STAY_IN_TOUCH_SIGNATURE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
STAY_IN_TOUCH_NOTE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
FAX,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
MOBILE_PHONE,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
ALIAS,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
COMMUNITY_NICKNAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
BADGE_TEXT,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
IS_ACTIVE,BOOLEAN,COLUMN,Y,,N,N,,,,,
TIME_ZONE_SID_KEY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
USER_ROLE_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
LOCALE_SID_KEY,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
RECEIVES_INFO_EMAILS,BOOLEAN,COLUMN,Y,,N,N,,,,,
RECEIVES_ADMIN_INFO_EMAILS,BOOLEAN,COLUMN,Y,,N,N,,,,,
