name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
ID,VARCHAR(18),COLUMN,Y,,Y,N,,,,,
OWNER_ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
IS_DELETED,BOOLEAN,COLUMN,Y,,N,N,,,,,
NAME,VARCHAR(240),COLUMN,Y,,N,N,,,,,
CURRENCY_ISO_CODE,VARCHAR(9),COLUMN,Y,,N,N,,,,,
CREATED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
CREATED_BY_ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
LAST_MODIFIED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_MODIFIED_BY_ID,VARCHAR(18),COLUMN,Y,,N,N,,,,,
SYSTEM_MODSTAMP,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_VIEWED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
LAST_REFERENCED_DATE,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
VH_TYPE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
_FIVETRAN_SYNCED,TIMESTAMP_TZ(9),COLUMN,Y,,N,N,,,,,
VH_SOURCE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
VH_ACCOUNT_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
VH_DESCRIPTION_C,VARCHAR(98304),COLUMN,Y,,N,N,,,,,
VH_CREATED_STAGE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
VH_OPPORTUNITY_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
VH_DELIVERABLE_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
VH_DATE_C,DATE,COLUMN,Y,,N,N,,,,,
VH_PRESALES_STAGE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
VH_HOURS_C,FLOAT,COLUMN,Y,,N,N,,,,,
VH_FOCUS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
VH_STATUS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
VH_DEFAULT_HOURS_C,FLOAT,COLUMN,Y,,N,N,,,,,
VH_HERO_ACTIVITY_FLAG_C,FLOAT,COLUMN,Y,,N,N,,,,,
PRESENTATION_TYPE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
CYBERSECURITY_PARTNER_S_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
CYBERSECURITY_PAIN_POINTS_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
CYBERSECURITY_REQUIREMENTS_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
SOLUTION_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
REMOTE_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
PSE_ACTIVITY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
INTERNAL_C,BOOLEAN,COLUMN,Y,,N,N,,,,,
GEOGRAPHY_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
VERTICAL_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PARTNER_TYPE_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
SUB_GEOGRAPHY_C,VARCHAR(4099),COLUMN,Y,,N,N,,,,,
NO_OF_ATTENDEES_C,FLOAT,COLUMN,Y,,N,N,,,,,
PARTNER_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
_FIVETRAN_DELETED,BOOLEAN,COLUMN,Y,,N,N,,,,,
INTERNAL_SOLUTION_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
CUSTOM_CYBERSECURITY_USE_CASE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DEMO_ASSET_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
FCTO_CATALOG_CATEGORY_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
PARTNER_PROVIDED_SOLUTION_C,VARCHAR(18),COLUMN,Y,,N,N,,,,,
ASSET_DELIVERY_STATUS_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
DEMO_TYPE_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
FCTO_CATALOG_OFFERING_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
GTM_ACTIVITY_NAME_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
WORKLOAD_C,VARCHAR(765),COLUMN,Y,,N,N,,,,,
