name,type,kind,null?,default,primary key,unique key,check,expression,comment,policy name,privacy domain
EMPLOYEE_ID,"NUMBER(38,0)",COLUMN,Y,,N,N,,,,,
USER_ID,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
NAME,VARCHAR(16777216),COLUMN,Y,,N,N,,,,,
EMAIL,VARCHAR(256),COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_NULL,ARRAY,COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_0,ARRAY,COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_100,ARRAY,COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_200,ARRAY,COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_300,ARRAY,COLUMN,Y,,N,N,,,,,
SELF_ASSESMENT_SKILL_400,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_NULL,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_0,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_100,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_200,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_300,ARRAY,COLUMN,Y,,N,N,,,,,
MGR_SCORE_SKILL_400,ARRAY,COLUMN,Y,,N,N,,,,,
CERT_INTERNAL,ARRAY,COLUMN,Y,,N,N,,,,,
CERT_EXTERNAL,ARRAY,COLUMN,Y,,N,N,,,,,
CERT_INTERNAL_MISSING,ARRAY,COLUMN,Y,,N,N,,,,,
SPECIALTIES,ARRAY,COLUMN,Y,,N,N,,,,,
EMPLOYERS,ARRAY,COLUMN,Y,,N,N,,,,,
COLLEGE,ARRAY,COLUMN,Y,,N,N,,,,,
